-------------------------------------------------------------------------------------------------------------
Configuration   | Term   |    J |                              Level    | Leading percentages    | Reference
----------------|--------|------|---------------------------------------|------------------------|-----------
                |        |      |                                       |                        |           
1s              | 2S     |  1/2 |                       0.0000000000    | 100                    |          
                |        |      |                                       |                        |           
2p              | 2P*    |  1/2 |                   82258.9191133       | 100                    |    L15291
                |        |  3/2 |                   82259.2850014       | 100                    |    L15291
                |        |      |                                       |                        |           
2s              | 2S     |  1/2 |                   82258.9543992821    | 100                    |    L15291
                |        |      |                                       |                        |           
2               |        |      |                   82259.158           |                        |    L15291
                |        |      |                                       |                        |           
3p              | 2P*    |  1/2 |                   97492.211200        | 100                    |    L15291
                |        |  3/2 |                   97492.319611        | 100                    |    L15291
                |        |      |                                       |                        |           
3s              | 2S     |  1/2 |                   97492.221701        | 100                    |    L15291
                |        |      |                                       |                        |           
3               |        |      |                   97492.304           |                        |    L15291
                |        |      |                                       |                        |           
3d              | 2D     |  3/2 |                   97492.319433        | 100                    |    L15291
                |        |  5/2 |                   97492.355566        | 100                    |    L15291
                |        |      |                                       |                        |           
4p              | 2P*    |  1/2 |                  102823.8485825       | 100                    |    L15291
                |        |  3/2 |                  102823.8943175       | 100                    |    L15291
                |        |      |                                       |                        |           
4s              | 2S     |  1/2 |                  102823.8530211       | 100                    |    L15291
                |        |      |                                       |                        |           
4d              | 2D     |  3/2 |                  102823.894250        | 100                    |    L15291
                |        |  5/2 |                  102823.9094871       | 100                    |    L15291
                |        |      |                                       |                        |           
4               |        |      |                  102823.904           |                        |    L15291
                |        |      |                                       |                        |           
4f              | 2F*    |  5/2 |                  102823.90949         | 100                    |    L15291
                |        |  7/2 |                  102823.917091        | 100                    |    L15291
                |        |      |                                       |                        |           
5p              | 2P*    |  1/2 |                  105291.62867         | 100                    |    L15291
                |        |  3/2 |                  105291.65209         | 100                    |    L15291
                |        |      |                                       |                        |           
5s              | 2S     |  1/2 |                  105291.63094         | 100                    |    L15291
                |        |      |                                       |                        |           
5d              | 2D     |  3/2 |                  105291.651993        | 100                    |    L15291
                |        |  5/2 |                  105291.659796        | 100                    |    L15291
                |        |      |                                       |                        |           
5               |        |      |                  105291.657           |                        |    L15291
                |        |      |                                       |                        |           
5f              | 2F*    |  7/2 |                  105291.66370         | 100                    |    L15291
                |        |  5/2 |                  105291.65983494      | 100                    |    L15291
                |        |      |                                       |                        |           
5g              | 2G     |  7/2 |                  105291.66373033      | 100                    |    L15291
                |        |  9/2 |                  105291.66607200      | 100                    |    L15291
                |        |      |                                       |                        |           
6p              | 2P*    |  1/2 |                  106632.1485242       | 100                    |    L15291
                |        |  3/2 |                  106632.1620756       | 100                    |    L15291
                |        |      |                                       |                        |           
6s              | 2S     |  1/2 |                  106632.1498416       | 100                    |    L15291
                |        |      |                                       |                        |           
6d              | 2D     |  3/2 |                  106632.1620536       | 100                    |    L15291
                |        |  5/2 |                  106632.1665697       | 100                    |    L15291
                |        |      |                                       |                        |           
6f              | 2F*    |  5/2 |                  106632.16656761      | 100                    |    L15291
                |        |  7/2 |                  106632.16882614      | 100                    |    L15291
                |        |      |                                       |                        |           
6               |        |      |                  106632.1681          |                        |    L15291
